rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/std,train/approx_kl,train/loss,train/n_updates,train/learning_rate,train/clip_fraction
1.0,-0.20955716000000002,5440,85,1299,4,0.05030214451253414,-2.4105335474014282,-0.018072122149169444,0.2,0.026177823543548584,0.8065811991691589,0.014330695,0.0017793439328670502,840,0.0003,0.0828125
1.0,-0.21544775000000002,5504,86,1300,4,0.03554613441228867,-2.4058833837509157,-0.010422999039292336,0.2,-0.007776737213134766,0.8050248622894287,0.010553569,-0.00014832057058811188,850,0.0003,0.040625
1.0,-0.22802017000000002,5568,87,1301,4,0.03913714550435543,-2.401659846305847,-0.00440657171420753,0.2,0.005598902702331543,0.8026883602142334,0.005335422,0.011489056050777435,860,0.0003,0.015625
1.0,-0.24959752,5632,88,1302,4,0.03590705022215843,-2.395410346984863,-0.0150927877984941,0.2,0.01038295030593872,0.8004290461540222,0.003662874,-0.016636261716485023,870,0.0003,0.003125
1.0,-0.25410963,5696,89,1301,4,0.03301624320447445,-2.390259838104248,-0.011747732665389777,0.2,0.011442720890045166,0.7983942031860352,0.006349694,-0.0070627424865961075,880,0.0003,0.01875
1.0,-0.23462106999999996,5760,90,1301,4,0.027378269657492637,-2.3851410150527954,-0.012368929479271174,0.2,0.0493963360786438,0.7965295314788818,0.01660015,-0.0012712515890598297,890,0.0003,0.1078125
1.0,-0.21135970999999998,5824,91,1302,4,0.024504494667053223,-2.3809194564819336,-0.0061029626056551935,0.2,0.054889142513275146,0.7947601079940796,0.007300549,-0.0004369337111711502,900,0.0003,0.0265625
1.0,-0.25957911,5888,92,1300,4,0.028692206367850304,-2.376357650756836,-0.024535776302218437,0.2,0.049594104290008545,0.7931060791015625,0.01520719,-0.027011269703507423,910,0.0003,0.0609375
1.0,-0.24839318999999999,5952,93,1301,4,0.043394549190998076,-2.3724749803543093,0.006506668869405985,0.2,0.03300333023071289,0.7915845513343811,0.00024373643,0.021666791290044785,920,0.0003,0.0
1.0,-0.19956366999999997,6016,94,1300,4,0.03438361249864101,-2.3688059091567992,-0.0018972198478877545,0.2,0.04890650510787964,0.7902884483337402,0.0008078851,0.0011004582047462463,930,0.0003,0.0
1.0,-0.2123131,6080,95,1300,4,0.03361799940466881,-2.36517813205719,0.0004987260326743126,0.2,0.02940666675567627,0.7884501814842224,0.002085778,0.014513781294226646,940,0.0003,0.0
1.0,-0.19428049000000003,6144,96,1301,4,0.032948534935712814,-2.360222268104553,-0.015305787138640881,0.2,0.037712931632995605,0.7865898013114929,0.0041241767,-0.013460949063301086,950,0.0003,0.0109375
1.0,-0.25827022,6208,97,1301,4,0.036064229905605316,-2.3557708740234373,-0.014783092495054006,0.2,0.03399324417114258,0.7850334644317627,0.0067322124,-0.016224250197410583,960,0.0003,0.0203125
1.0,-0.23723154000000002,6272,98,1302,4,0.03110656812787056,-2.352231240272522,-0.004137809202075004,0.2,0.02003002166748047,0.7837270498275757,0.0033663772,0.004777555353939533,970,0.0003,0.0046875
1.0,-0.23271464000000003,6336,99,1302,4,0.03185982741415501,-2.3488297700881957,0.0012213084846735,0.2,0.052878737449645996,0.7824062705039978,0.00027433038,0.016686279326677322,980,0.0003,0.0
1.0,-0.23629627000000003,6400,100,1303,4,0.04152706563472748,-2.345032978057861,-0.0052409801632165905,0.2,0.019504129886627197,0.7805737853050232,0.0027262429,0.00604531355202198,990,0.0003,0.0
1.0,-0.26290018,6464,101,1304,4,0.03303982578217983,-2.339923453330994,-0.003462747111916542,0.2,0.04597818851470947,0.7785507440567017,0.0018614559,0.00362313911318779,1000,0.0003,0.0
1.0,-0.26363605,6528,102,1305,5,0.0299947502091527,-2.334944558143616,-0.0013090407475829125,0.2,0.03660619258880615,0.7766733169555664,0.0017125215,0.006787250749766827,1010,0.0003,0.0
1.0,-0.2816241299999999,6592,103,1305,5,0.031790508702397344,-2.330217218399048,-0.004411427397280931,0.2,0.049713313579559326,0.7748855352401733,0.0029070042,0.0014482773840427399,1020,0.0003,0.003125
1.0,-0.28617472000000005,6656,104,1306,5,0.033159666880965236,-2.325182843208313,-0.004606107249855995,0.2,0.08934354782104492,0.7725745439529419,0.004450919,0.00880429893732071,1030,0.0003,0.0125
