time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/learning_rate,train/entropy_loss,train/n_updates,train/value_loss,train/std,train/clip_range,train/loss,train/policy_gradient_loss
26,-0.27442416999999997,1.0,1664,1190,1,0.0015625,0.003862738609313965,0.0016946718,0.0003,-2.7074392557144167,250,0.043377944454550746,0.9352477788925171,0.2,0.015481928363442421,-0.0026197513565421105
27,-0.23718314000000004,1.0,1728,1196,1,0.0078125,-0.011611700057983398,0.0026157936,0.0003,-2.7009670972824096,260,0.04938903860747814,0.9322161674499512,0.2,0.01309012807905674,-0.006072951294481754
28,-0.24316408000000003,1.0,1792,1203,1,0.0140625,0.006698191165924072,0.007710765,0.0003,-2.6951323986053466,270,0.031866307742893694,0.9301154613494873,0.2,-0.006839107722043991,-0.008965058624744416
29,-0.25903944,1.0,1856,1208,1,0.0,-0.0016771554946899414,0.00051604863,0.0003,-2.690985345840454,280,0.04088718965649605,0.928043007850647,0.2,0.017235012724995613,0.0014780793339014054
30,-0.23136140000000002,1.0,1920,1213,1,0.0734375,-0.0021431446075439453,0.015274555,0.0003,-2.686407709121704,290,0.03999247029423714,0.9260827302932739,0.2,-0.008679967373609543,-0.017743727657943964
31,-0.23456142,1.0,1984,1216,1,0.0328125,0.015743374824523926,0.0078013167,0.0003,-2.6822519540786742,300,0.030017605610191823,0.9239557981491089,0.2,0.006892136298120022,-0.005210719164460897
32,-0.26275057,1.0,2048,1220,1,0.0015625,-0.010410547256469727,0.001975161,0.0003,-2.6772441387176515,310,0.02861434519290924,0.9215303063392639,0.2,0.0026218323037028313,-0.004851113725453615
33,-0.23904716,1.0,2112,1224,1,0.0,0.0014361739158630371,0.0009318711,0.0003,-2.671382212638855,320,0.04338177815079689,0.9182616472244263,0.2,0.01901054009795189,-0.0011671692132949828
34,-0.22198604999999996,1.0,2176,1227,1,0.0,0.005626797676086426,0.0011027874,0.0003,-2.6641192197799684,330,0.03903212547302246,0.9152170419692993,0.2,-0.004868203774094582,-0.009978412464261056
35,-0.22035989,1.0,2240,1230,1,0.0140625,0.00937509536743164,0.005238427,0.0003,-2.658018183708191,340,0.05019070729613304,0.9125261306762695,0.2,0.012341216206550598,-0.007799549959599972
36,-0.23796249000000003,1.0,2304,1233,1,0.0,-0.03582453727722168,0.0012878617,0.0003,-2.6524577140808105,350,0.03176439516246319,0.9103209972381592,0.2,0.0054078251123428345,-0.002972118277102709
37,-0.22874782000000005,1.0,2368,1233,1,0.0109375,-0.001640915870666504,0.004367766,0.0003,-2.6476231813430786,360,0.04536398947238922,0.9079126119613647,0.2,0.016649549826979637,-0.0036936231888830664
38,-0.21771580999999998,1.0,2432,1237,1,0.003125,0.010361850261688232,0.0040725386,0.0003,-2.6418516874313354,370,0.03475708924233913,0.904965877532959,0.2,0.01030026376247406,-0.0036323036067187784
39,-0.22959294,1.0,2496,1239,2,0.0171875,0.0063187479972839355,0.0065466426,0.0003,-2.6348254442214967,380,0.030182230100035668,0.9016215801239014,0.2,0.0047964733093976974,-0.0054518599063158035
40,-0.25132148,1.0,2560,1242,2,0.0,0.01039886474609375,0.0029270798,0.0003,-2.627243185043335,390,0.04349325820803642,0.8981858491897583,0.2,0.009649515151977539,-0.004934998787939548
41,-0.27253253,1.0,2624,1240,2,0.0171875,0.01671576499938965,0.0065873843,0.0003,-2.6197023391723633,400,0.04359954185783863,0.8948848843574524,0.2,0.012130238115787506,-0.005388625152409077
42,-0.27026761,1.0,2688,1241,2,0.0046875,0.013343274593353271,0.002638501,0.0003,-2.6128090143203737,410,0.04848137423396111,0.8922010660171509,0.2,-0.0048639364540576935,-0.011563203111290932
43,-0.25550731,1.0,2752,1244,2,0.0421875,-0.017621159553527832,0.011094844,0.0003,-2.6072319746017456,420,0.04310788623988628,0.8897871971130371,0.2,0.004862423986196518,-0.01110108969733119
44,-0.22207044999999997,1.0,2816,1247,2,0.0484375,-0.033124566078186035,0.016998183,0.0003,-2.6023145437240602,430,0.031499634683132174,0.8881615400314331,0.2,-0.005802215076982975,-0.012822819035500288
45,-0.21733102,1.0,2880,1250,2,0.0046875,0.012906968593597412,0.0049302336,0.0003,-2.599325942993164,440,0.030970044806599616,0.8868356943130493,0.2,0.007570674642920494,-0.002668819762766361
46,-0.24003579000000003,1.0,2944,1252,2,0.0,0.02211982011795044,8.028187e-05,0.0003,-2.5961293935775758,450,0.0323575347661972,0.8854219317436218,0.2,0.012599755078554153,0.0013425242155790328
47,-0.22476402000000004,1.0,3008,1255,2,0.05,0.007221043109893799,0.00998126,0.0003,-2.5925057411193846,460,0.03878962025046349,0.883358895778656,0.2,0.011446421965956688,-0.0069241482764482495
48,-0.24937457999999998,1.0,3072,1258,2,0.009375,0.01818186044692993,0.0056009544,0.0003,-2.587137293815613,470,0.029439309053122996,0.8806780576705933,0.2,0.0031212829053401947,-0.005684618279337883
49,-0.24800064,1.0,3136,1260,2,0.0015625,0.0178983211517334,0.004078497,0.0003,-2.580968737602234,480,0.03604983165860176,0.8781288266181946,0.2,-0.0019106864929199219,-0.006215468607842922
50,-0.25422431999999995,1.0,3200,1263,2,0.1015625,0.017926454544067383,0.015435824,0.0003,-2.5756916284561155,490,0.03001420684158802,0.8761038184165955,0.2,-0.0011770334094762802,-0.012101291120052338
51,-0.26199458999999997,1.0,3264,1265,2,0.0015625,0.02317720651626587,0.0021076715,0.0003,-2.5712661266326906,500,0.031406772509217265,0.8740984201431274,0.2,0.006939254701137543,-0.004484587069600821
52,-0.25249716000000005,1.0,3328,1264,2,0.003125,0.038453757762908936,0.0052148122,0.0003,-2.5665266275405885,510,0.02757417317479849,0.8720127940177917,0.2,0.005231700837612152,-0.003194605186581612
53,-0.24560079,1.0,3392,1264,2,0.0,0.022475600242614746,0.0021025008,0.0003,-2.5614830017089845,520,0.03041055388748646,0.8695539236068726,0.2,0.002680828794836998,-0.005418392457067966
54,-0.24900123000000005,1.0,3456,1265,2,0.0,0.03845500946044922,0.00036682747,0.0003,-2.5558927774429323,530,0.03588462620973587,0.8674038648605347,0.2,0.014624673873186111,0.0009249933995306492
55,-0.23942792000000004,1.0,3520,1267,2,0.0296875,0.02922523021697998,0.0076711494,0.0003,-2.5512097120285033,540,0.030210880003869532,0.8654336929321289,0.2,0.005105261690914631,-0.005453576287254691
56,-0.22685336999999997,1.0,3584,1268,2,0.04375,-0.010699152946472168,0.009519881,0.0003,-2.5475018501281737,550,0.026003513485193253,0.8643512725830078,0.2,-0.0046723708510398865,-0.009954756870865823
57,-0.23245063,1.0,3648,1268,2,0.0,0.03091484308242798,0.0012651393,0.0003,-2.5454129695892336,560,0.030932876281440258,0.8635601997375488,0.2,0.0037421155720949173,-0.002558901347219944
58,-0.24775489,1.0,3712,1270,2,0.04375,0.008006155490875244,0.011110687,0.0003,-2.543441367149353,570,0.03492041975259781,0.8625115156173706,0.2,-0.012912789359688759,-0.01765671940520406
59,-0.23254259000000002,1.0,3776,1272,2,0.0515625,0.029262542724609375,0.010450376,0.0003,-2.540845036506653,580,0.030067311599850655,0.8615003824234009,0.2,-0.013120915740728378,-0.016163466870784758
60,-0.23631500000000003,1.0,3840,1274,3,0.0,0.03701627254486084,0.0010124231,0.0003,-2.5388487815856933,590,0.03118071798235178,0.8606293797492981,0.2,0.00957450456917286,0.0006212741136550903
