rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/std,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/clip_range,train/loss
-0.21247501999999996,1.0,14592,228,1197,12,-0.0037505471147596834,0.5452004671096802,0.0033801636,0.0003,-1.6281495332717895,0.035884042456746104,0.08894044160842896,2270,0.0078125,0.2,0.009936681017279625
-0.18394962000000004,1.0,14656,229,1197,12,-0.004344870150089264,0.5434824824333191,0.00615923,0.0003,-1.6216991901397706,0.02834948729723692,0.2355702519416809,2280,0.0109375,0.2,0.0036524860188364983
-0.13927047000000004,1.0,14720,230,1198,12,-0.0010757931508123876,0.5415250062942505,0.0014582621,0.0003,-1.6150922536849976,0.03104270715266466,0.04083132743835449,2290,0.0,0.2,0.01133391261100769
-0.16928174,1.0,14784,231,1198,12,-0.005492589622735977,0.53944993019104,0.0013811626,0.0003,-1.6075494289398193,0.02202615048736334,0.07882946729660034,2300,0.0,0.2,-0.0012302808463573456
-0.19907676000000002,1.0,14848,232,1198,12,-0.0016477124765515328,0.5375281572341919,0.0013904329,0.0003,-1.6000542759895324,0.03714178428053856,0.09703207015991211,2310,0.0,0.2,0.011212203651666641
-0.18986426,1.0,14912,233,1198,12,-0.022724272776395084,0.5359705686569214,0.015570278,0.0003,-1.5934844136238098,0.03687377497553825,0.020212650299072266,2320,0.059375,0.2,-0.01894688792526722
-0.19090321000000002,1.0,14976,234,1198,12,-0.0009992639999836684,0.5346159338951111,0.0008284785,0.0003,-1.588036596775055,0.04056684859097004,0.04573339223861694,2330,0.0,0.2,0.010152742266654968
-0.17935751,1.0,15040,235,1197,12,-0.021264477260410787,0.5334896445274353,0.010789086,0.0003,-1.5834113597869872,0.04220120683312416,0.057639241218566895,2340,0.04375,0.2,-0.014599191024899483
-0.20521305000000006,1.0,15104,236,1198,12,-0.003126365039497614,0.5319912433624268,0.002125862,0.0003,-1.5787406325340272,0.03225006982684135,-0.032842040061950684,2350,0.0,0.2,0.004766498692333698
-0.17777044000000003,1.0,15168,237,1198,12,-0.012819284619763494,0.5303053855895996,0.013201403,0.0003,-1.5726422429084779,0.03055284861475229,0.1337377429008484,2360,0.090625,0.2,0.0005964422598481178
-0.16887262,1.0,15232,238,1198,12,-0.006266413070261478,0.5289937257766724,0.0038037654,0.0003,-1.5668170928955079,0.03050792794674635,0.07616657018661499,2370,0.0046875,0.2,-0.0016466975212097168
-0.17275776999999998,1.0,15296,239,1198,12,-0.0047988173551857475,0.5277593731880188,0.0036396598,0.0003,-1.5621421337127686,0.023429872840642928,0.17265409231185913,2380,0.0046875,0.2,-0.002895679324865341
-0.1786837,1.0,15360,240,1198,12,-0.0072093321941792965,0.5264531373977661,0.004568033,0.0003,-1.5573238492012025,0.03387173190712929,0.021618783473968506,2390,0.0203125,0.2,0.0076102614402771
-0.17698310999999997,1.0,15424,241,1198,12,-0.0076642956584692,0.5251660943031311,0.007010253,0.0003,-1.5524464845657349,0.024316334910690785,-0.01124715805053711,2400,0.0109375,0.2,-0.005532130599021912
-0.14240347,1.0,15488,242,1199,12,-0.007916942983865739,0.5240362882614136,0.004665002,0.0003,-1.5476832270622254,0.029068081080913542,0.07446140050888062,2410,0.0109375,0.2,-0.01002664677798748
-0.13297058,1.0,15552,243,1198,12,-0.013992819283157588,0.5226888060569763,0.009117456,0.0003,-1.5433067083358765,0.021761373989284037,0.08901327848434448,2420,0.0296875,0.2,-0.017157863825559616
-0.20383984000000002,1.0,15616,244,1198,13,0.0007288077846169472,0.5208684802055359,0.0014414266,0.0003,-1.5372107744216919,0.02238173075020313,0.14625972509384155,2430,0.0,0.2,0.010002086870372295
-0.15664453,1.0,15680,245,1197,13,-0.0187571719288826,0.5194112062454224,0.009168756,0.0003,-1.5306121706962585,0.04512640535831451,0.043486714363098145,2440,0.0234375,0.2,-0.015634553506970406
-0.13686212,1.0,15744,246,1197,13,-0.0027932713739573954,0.5180222988128662,0.0038729934,0.0003,-1.5251950383186341,0.02820455376058817,0.07131797075271606,2450,0.0203125,0.2,0.009949932806193829
-0.15530541,1.0,15808,247,1197,13,-0.017773761600255965,0.5167785882949829,0.008757083,0.0003,-1.5202053785324097,0.01910135746002197,-0.033266663551330566,2460,0.0296875,0.2,-0.02355925366282463
-0.1700989,1.0,15872,248,1198,13,-0.004017320182174444,0.5153115391731262,0.0027557286,0.0003,-1.514982557296753,0.030313065461814403,0.0580061674118042,2470,0.0015625,0.2,0.0017078928649425507
-0.14943313,1.0,15936,249,1198,13,-0.0126828801818192,0.513883113861084,0.004899523,0.0003,-1.50930415391922,0.027101107500493528,0.08176332712173462,2480,0.00625,0.2,-0.01449371874332428
